Title,Year Published,Abstracts,professionalism,,,participants,,practices,,,exemplar,exemplar code,Remarks
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
"Native Advertising Credibility Perceptions and Ethical Attitudes: An exploratory study among adolescents in the United States, Turkey and Israel",2020,"The current exploratory research aims to understand adolescent perceptions of credibility and ethical attitudes toward online native advertising (NA), in conjunction with persuasion knowledge, and explore how these attitudes might differ in three different cultures: U.S., Turkey and Israel. A survey employing a NA article was administered among adolescents (n = 610). The manipulation examined their ethical attitudes and credibility perceptions toward the NA articles before and after the persuasion knowledge. Findings strengthen research assumptions that most adolescents have encountered NA without recognizing it as persuasive communication. Adolescents find NA articles less credible and less ethical when they are informed about it. Moreover, results show that adolescents in general have a tendency to accept NA as a moral practice, while findings point to significant differences in responses moderated by country of origin.",0,1,0,0,1,0,1,0,"""adolescent perceptions"" - PP2
""less credible & less ethical"" ; ethical attitudes - PFV
""informed about NA"" & credibility - PCD",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
The Covert Advertising Recognition and Effects (CARE) model: Processes of persuasion in native advertising and other masked formats,2020,"Covert advertisements, or those that utilize the guise and delivery mechanisms of familiar non-advertising formats, differ from other more direct forms of advertising in several ways that are important for understanding users’ psychological responses. Research across various covert advertising formats including various forms of sponsored editorial content, other native advertising formats, and product placement has shown that variation consumers’ persuasive responses to such messages is largely driven by whether they recognize that such messages are advertising at all. After reviewing the findings of empirical research into covert advertising effects, we present a model of covert advertising recognition effects (CARE) that outlines potential antecedents and processes underlying the recognition of covert advertising, and maps several pathways to persuasive outcomes that are contingent on advertising recognition and perceptions related to the information in and perceived presentation of the advertisement itself.",0,1,0,0,1,0,1,0,"""understanding users’ psychological responses"" ; ""persuasive responses"" - PP2
",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Examining Consumers’ Recognition of Native and Banner Advertising on News Website Home Pages ,2020,"Native advertising has grown tremendously as consumers have shifted attention from traditional to digital media. Using an eye-tracking method and a general population sample, an online survey examined whether consumers could recognize native ads and banner ads on digital news website home pages with similar speed and effectiveness. It also investigated the relationship between ad skepticism and recognition of native and banner advertising. Results suggest that native ads are more discoverable, or more quickly noticed, than banner ads. However, only 68% of participants could recognize at least one native ad, and those who did took significantly longer to recognize native than banner units as ads. Even among consumers with high skepticism toward advertising, who should have richer knowledge about the strategies and tactics of advertisers, no relationship was found between ad skepticism and native ad recognition.",0,0,1,0,1,0,1,0,"""ads are more discoverable & quickly noticed"" economic benefits vs banner ads - PFE
",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Activating persuasion knowledge in native advertising: the influence of cognitive load and disclosure language,2020,"Incorporating the theory of limited cognitive capacity and persuasion knowledge model, this article examines the interaction effect between cognitive load and disclosure language on the activation of persuasion knowledge and perceived manipulativeness of native advertising. Two experimental studies suggested that individuals with varied levels of cognitive load responded to native advertisements using explicit versus implicit disclosure language differently. The current research contributes to theory building in the native advertising literature and provides practical implications to advertising practitioners and regulatory agencies.",0,0,0,0,1,0,1,0,"""individuals"" - PP2 
""persuasion knowledge & perceived manipulativeness"" - PCD
",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Sponsorship Disclosure and Consumer Deception: Experimental Evidence from Native Advertising in Mobile Search ,2020,"Recent advances in advertising technology have lead to the development of “native advertising,” which is a format of advertising that mimics the other nonsponsored content on the medium. Whereas advertisers have rapidly embraced the format on a variety of digital media, regulators have expressed serious concerns about whether this format materially deceives consumers because the advertising disclosure is incomplete or inappropriate. This has reignited a longstanding debate about the distinction between advertising and content in media markets, and how it affects consumers. This paper contributes to this debate by providing empirical evidence from a randomized experiment conducted on native advertising at a mobile restaurant search platform. We experimentally vary the format of paid-search advertising, the extent to which ads are disclosed to over 200,000 users, and track their anonymized browsing behavior including clicks and conversions. The research design we propose uses comparisons of revealed preferences under experimentally manipulated treatment and control conditions to assess the potential for consumer confusion and deception. A design based on revealed preference speaks to the “material” standard of regulators, helps assess confusion while avoiding directly questioning consumers, and may be useful in other settings. Implementing the design, we find that native advertising benefits advertisers and detect no evidence of deception under typically used formats of disclosure currently used in the paid-search marketplace. Further investigation shows that the incremental conversions due to advertising are not driven by users clicking on the native ads. Rather, the benefits from advertising are driven by users seeing the ads and later clicking on the advertiser’s “organic” listings. Thus, we find little support of native advertising tricking users into clicking and driving them to advertisers as typically feared; instead, users seem to view ads and deliberately evaluate the advertisers. Furthermore, mere exposure seems sufficient to produce most of the incremental effect of advertising.",0,1,1,0,1,0,1,0,"""decevives consumers""; ""tricking"" - PFV
""advertising disclosure"" - PCD
""consumers"" - PP2
""Incremental affect of native advertising"" - PFE",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Young adults’ recognition of native advertising disguised as news ,2020,"Purpose – The purpose of this paper is to test hypotheses on the effects of native advertising on young media consumers. First, it aims to discover whether the young audience activates news-based schema or advertising schema when exposed to different themes of native advertising. Second, this research tests whether there is a relationship between the theme of native advertising and the credibility of the media in which it is placed and the ability of young media consumers to recognize the advertising. Third, it attempts to seek a possible relationship between the recognition of native advertising and the credibility of the advertiser.


Design/methodology/approach – An experimental study was carried out using 186 university students in the greater Jakarta area whose ages ranged between 18 and 22 years. Participants were randomly assigned to six groups (2 - 3 experimental design) and asked to respond to a set of questions related to their awareness of native advertising. They were also asked their opinions on the advertiser’s credibility before and after they were told that the content was native advertising.

Findings – Results show that most of these young media consumers could not spot native advertising and have difficulties in recognizing political native advertising. The findings also point out a more profound decline in advertiser credibility among groups exposed to political native advertising compared to nonpolitical native advertising.

Research limitations/implications – Results show that most of these young media consumers could not spot native advertising and have difficulties in recognizing political native advertising. The findings also point out a more profound decline in advertiser credibility among groups exposed to political native advertising compared to non-political native advertising.

Originality/value – This research shows that the theme of the native advertising has a significant influence on the ability of media consumers to recognize native advertising. The results indicate that non-commercial native advertising is highly deceptive. This finding is valuable for the improvement of advertising regulation, especially on non-commercial native advertising.",0,1,0,0,1,0,1,0,"""university students; young media consumers"" - PP2
""recognition of native advertising & credibility of advertiser"" - PCD 
""non-commercial native advertising is highly deceptive"" - PFV


",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Moving Towards Transparency for Native Advertisements on News Websites: A Test of More Detailed Disclosures ,2020,"As readers often do not recognize the commercial nature of native advertising on news websites, clear disclosures are required to prevent deception. The present study therefore tests whether and how providing disclosures with more detailed information about both the authorship of native ads and the importance of advertising revenue for news media’s business models can increase readers’ recognition and understanding of native advertising. Once readers are aware that they are viewing native advertising, the study assesses whether perceptions of transparency can positively influence readers’ evaluations of the credibility of native advertising, advertisers and news media in general. Results of the online experiment that tested four disclosure types show that, compared to using standard disclosures such as ‘partner content’ and ‘sponsored by [brand]’, providing more detailed disclosures leads to higher perceived sponsorship transparency, which in turn increases credibility of native advertising, advertisers and news media in general.",0,1,1,1,1,1,1,0,"""clear disclosures are required to prevent deception"" - PCD
""providing more detailed leads to higher perceived sponsorship transparency, which in turn increases credibility of native advertising"" - PCC
"" reader's evaluations of credibility"" - PP2
""credibility of advertisers and news media"" - PP1
""deception"" - PFV
""imporatance of advertising revenue"" - PFE",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
How advertising relevance and consumer – Brand relationship strength limit disclosure effects of native ads on Twitter ,2020,"Present research builds upon native advertising research by examining the roles of advertising message relevance, consumer-brand relationship strength, and authorship. Two national experiments were conducted among active Twitter users ages 18–34. In Study 1 (N = 147), a 2 (disclosure: tweet/promoted tweet) X 2 (high-/ low-ad message relevance) experiment showed that while disclosure had no effect on advertising outcomes, strong message relevance effects were present. Study 2 (N = 363), a 2 (weaker/ stronger brand relationship strength) X 2 (disclosure: tweet/promoted tweet) X 3 (authorship: brand/influencer/peer) design, found that consumer–brand relationship strength also directly and positively influences attitude towards the brand, purchase intention and sharing intention; while significantly enhancing the positive message relevance impact on sharing intention, relevance’s impact on purchase intention was lessened. Greater consumer–brand relationship strength influence on attitude towards the brand and purchase intention was present when native ads were authored by peers rather than brands or influencers ",0,0,1,1,1,1,1,0,"""roles of advertising message, relevance, consumer-brand relationship strength & authorship"" - PFE
how design of NA influences ""purchase intention & sharing intention"" - PCC
""Twitter users"" - PP2 
""authorship Brands, influencers"" - PP1",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Fake Ads: The Influence of Counterfeit Native Ads on Brands and Consumers ,2020,"This research explores fake ads: social media posts created by influencers that are designed look like ads but are unpaid. An experiment finds that consumers’ perceptions of fake and real ads varies based on their social media experience. Influencers may also be seen as pushy, which reduces attitudes toward the brand featured in the post. Brands should monitor social media for fake ads featuring their brand so that these posts can be removed before they damage the brand’s reputation. This research is limited by its reliance on Facebook ads; social media platform could influence findings and invites future research. ",0,0,1,1,1,0,0,0,"""damage the brand's reputation"" - PCC
""brand, advertiser, influencers"" - PP1
""consumers' perception"" - PP2",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Negative Consequences of Storytelling in Native Advertising ,2020,"Native advertising and storytelling are both increasingly popular advertising strategies. This research explores the effectiveness of storytelling in a native advertising context on social media. While most research recommends the use of stories as a way to build trust and relationships with consumers, the current research suggests that in the form of native ads on social media, narratives may be less effective when compared to informational native ads. Two studies find that even when advertising cues such as disclosure labels and brand presence are prominently located, consumers are less likely to recognize the advertising nature of narrative native ads when compared to informational native ads. Lower levels of advertising recognition are associated with increased perceptions of manipulative intentions by the advertiser, which has a negative influence on consumers' attitudes toward the ad. The findings suggest that native ads that clearly communicate their advertising nature through cues such as an informational execution, high brand presence, and prominent disclosure labeling are more effective than a narrative execution style.",0,0,1,0,1,1,1,0,"""prominent disclosure labelling, ad recognition"" - PCD
ads the clearly communicate their nature through cues are more effective than narratives - PCC
""consumer attitudes"" - PP2
",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Unguarded against Persuasion and Willing to Share: The Combined Effect of Chronic Regulatory Focus and Disclosure Language on Consumer Responses to Native Advertising ,2020,"While disclosure has been largely investigated within existing native advertising research, consumers’ individual characteristics, which may influence the persuasion process, have not received sufficient academic attention in this area. Through online experiments, this research examined the interplay between chronic regulatory focus and disclosure language on consumer responses to native advertising across two studies. The results from Study 1 indicated that participants with a strong promotion focus were less cognizant of the commercial nature of the native ad when exposed to a native ad using an implicit disclosure label rather than one using an explicit disclosure label. More importantly, in Study 1, these participants expressed a stronger intention to share a native ad using an implicit disclosure label rather than one using an explicit disclosure label, whereas prevention-focused people reacted to native advertisements with an explicit label more positively than one using an implicit label. Study 2 further suggested that perceived persuasion intent could be the potential underlying mechanism that explained such an interaction effect. Theoretical and practical contributions of these findings are discussed.",0,0,1,0,1,1,1,0,"""consumer's individual characteristics, consumer responses"" - PP2
""disclosure label"" - PCD 
",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Predicting Consumer Avoidance of Native Advertising on Social Networking Sites: A Survey of Facebook Users ,2020,"As a result of constant efforts to improve consumers’ online advertising experiences, native advertising has started to gain popularity on social networking sites (SNSs). This survey study examined antecedents of avoidance of native advertising on SNSs and the moderating role of consumer skepticism toward native advertising. Our findings suggest perceived intrusiveness and perceived informative and entertainment advertising value as major antecedents of consumer advertising avoidance. Additionally, the number of brands that consumers are following on SNSs and negative communication among peers on SNSs were found to be factors affecting native advertising avoidance. Finally, consumer skepticism toward native advertising was found to be an important moderating variable in the mechanism of advertising avoidance on SNSs. ",0,0,1,0,1,1,0,0,"""consumer experiences; consumer avoidance"" - PP2
intrusiveness & ad value as antecedants of advertising avoidance - PCC & PPE
",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
"Native Advertising in Online News: Trade-Offs Among Clicks, Brand Recognition, and Website Trustworthiness ",2020,"Native advertising is a type of online advertising that matches the form and function of the platform on which it appears. In practice, the choice between display and in-feed native advertising presents brand advertisers and online news publishers with conflicting objectives. Advertisers face a trade-off between ad clicks and brand recognition, whereas publishers need to strike a balance between ad clicks and the platform’s trustworthiness. For policy makers, concerns that native advertising confuses customers prompted the U.S. Federal Trade Commission to issue guidelines for disclosing native ads. This research aims to understand how consumers respond to native ads versus display ads and to different styles of native ad disclosures, using randomized online and field experiments combining behavioral clickstream, eye movement, and survey response data. The results show that when the position of an ad on a news page is controlled for, a native ad generates a higher click-through rate because it better resembles the surrounding editorial content. However, a display ad leads to more visual attention, brand recognition, and trustworthiness for the website than a native ad. ",0,0,1,1,1,1,1,0,"""different styles of NA disclosures, "" & click-through rate - PCC & PCD
""consumer response to NA vs display ads"" - PP2
""visual attention, brand recognition and trustworthiness for the website"" - PFE",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
"In-Feed Native Advertising on News Websites: Effects of Advertising Format, Website Reputation, and Product Involvement ",2019,"Focusing on two popular types of native advertising, endemic in-feed advertisements and linked in-feed advertisements, the current study examined the effects of advertising format, website reputation, and product involvement on perceived advertising credibility (trustworthiness and expertise), attitude toward the advertisement, brand interest, and purchase intention. In general, endemic in-feed advertisements were rated more favorably on source expertise and brand interest, while linked in-feed advertisements scored higher on attitude toward the advertisement. Three-way interaction effects were found for source trustworthiness, attitude toward the advertisement, brand interest, and purchase intention. Endemic in-feed advertisements showed stronger impact for the high-involvement product on a high-reputable website, while linked in-feed advertisements appeared to work better for the low-involvement product on a low-reputable website. ",0,0,1,0,1,1,0,0,"""advertising format, website reputation & product involveement on credibility, attitude, interest & intention"" - PCC & PFE
consumer attitudes"" - PP2",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
"Newsfeed native advertising on Facebook: young millennials’ knowledge, pet peeves, reactance and ad avoidance ",2019,"This study explores how young millennials understand and respond to newsfeed native advertising on Facebook, rooting our focus on its covert nature of the ad format. Drawing insight from two persuasion-related theories, we conducted focus group interviews and in-depth interviews with Facebook users aged 19–29. The study revealed three major themes regarding their interactions with newsfeed ads: persuasion knowledge, positive and negative experiences and avoidant coping responses. Participants showed a high level of persuasion knowledge of how Facebook newsfeed ads work and ambivalent attitudes toward newsfeed native ads. Despite some benefits, newsfeed native ads presented strong negative responses, which were often accompanied by reactance and ad avoidance. Multiple themes regarding negative experiences emerged: ad intrusiveness, ad clutter, a lack of relevance, too personal, privacy concern, goal impediment and covertness. Participants also voiced less autonomy in controlling their exposure to newsfeed ads. Theoretical and managerial implications are discussed and a model for future research is provided. ",0,0,1,0,1,1,1,0,"""young millennials respond to facebook NA"" -PP2
""persuasion knowledge, newsfeed ads, covertness"" - PCD
""ad experiences, ad intrusiveness, ad clutter, lack of relevance, privacy concern"" - PCC
",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
The Effects of Native Ads on Consumer Brand Engagement: The Moderating Role of Website Credibility ,2019,"This research examined the effect of native ads on consumer brand engagement – specifically, how source disclosure of ad sponsors affected consumers’ perceived ad deceptiveness as well as their attitude toward the company and the brand. It also explored the moderating role of website credibility. One hundred and ten college students in South Korea participated in the experimental study, which found that high source disclosure of ad sponsors positively affected perceived deceptiveness. The effect of source disclosure on perceived deceptiveness was moderated by website credibility. Perceived deceptiveness negatively affected consumers’ attitude toward the company and the brand. The mediating role of perceived deceptiveness between source disclosure and consumer brand engagement was confirmed only when website credibility was high. The paper discusses the theoretical and practical implications of the findings as well as suggestions for future research in this area.",0,0,1,1,1,1,1,0,"""disclosure of ad sponsors & perceived deceptiveness"" - PCD 
""consumer's perceived ad deceptiveness & attitude towards the company & brand"" - PP2 ",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Consumers’ responses to native vs. banner advertising: moderation of persuasion knowledge on interaction effects of ad type and placement type ,2019,"Applying advertising contextual theory, we examined the conditions under which native advertising embedded in a news website was more effective. With the use of college students (n = 189),  2 (type of ad: native vs. banner) x 2 (type of ad placement: solo vs. duo) x 2 (persuasion knowledge: high vs. low) online experimental design was employed. In the solo condition, native advertising was evaluated more favorably than banner advertising in perceived fit, ad credibility, brand attitudes and click intention. Significant interaction effects between ad type and placement type were found on all dependent variables, with native advertising showing a significant decrease in duo (vs. solo) placement. These interaction effects appeared to be more pronounced for consumers with high persuasion knowledge, confirming its moderating role. Theoretical and managerial implications were discussed regarding the strategic placement of native advertising in news websites. ",0,0,1,0,1,1,0,0,"""conditions under which NA will be effective, strategic placement type"" - PFE & PCC
""college students"" - PP2",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Advertising nativeness as a function of content and design congruence ,2019,"Despite high interest in native advertising, the definition and effectiveness of native advertising remain subjects of debate. To address this problem, we explored the nature of perceived advertising nativeness as experienced by media users, developed a scale to measure this perception, and examined how it influenced advertising outcomes. Using survey data about 32 ad stimuli from three studies, we examined the nature and role of perceived advertising nativeness. The 6-item ad nativeness scale, consisting of two congruence dimensions (i.e. content nativeness and design nativeness), was reliable and valid, and the construct significantly influenced attitude towards the advertisement (Aad), attitude towards the brand (Ab), and purchase intention (PI). Content and design nativeness had different effects on these advertising outcomes at different levels (high vs. low) of consumer involvement. This study contributes to the theoretical knowledge of native advertising and offers an empirical method for optimizing the performance of native advertising. ",0,0,1,1,1,1,1,0,"""optimizing the performance of NA"" ""effectiveness of native advertising"" ""advertising outcomes"" - PCC, PFE
""content nativeness, congruence"" PCD
""ad stimuli"" - PP2
""responses, intentions' - PP1",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Ad Disclosure vs. Ad Recognition: How Persuasion Knowledge Influences Native Advertising Evaluation ,2019,"This study investigated how ad disclosure and ad recognition predict the effectiveness of native advertising in relation to persuasion knowledge. Two experimental studies revealed that evaluation of a natively formatted ad was influenced by knowledge of social media advertising tactics and ad recognition, rather than the explicitness of ad disclosure. Findings suggest that recognition of the natively formatted ad was triggered mostly by prior experience with social media ads, rather than ad disclosure. These findings also suggest the limited effects of ad disclosure and signify the importance of consumer education. Theoretical and practical implications are discussed. ",0,0,1,0,1,1,1,0,"""predict effectiveness of NA"" - PFE
""ad disclosure & recognition"" - PCD
contingent on consumer experience - PP2",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
You don’t fool me! Consumer perceptions of digital native advertising and banner advertising ,2019,"This study investigates consumer perceptions of article-style native advertisements and banner advertisements, in terms of understanding the message intent, ad attitudes, and ad credibility. In addition, it examines the interrelationships of these constructs and their effects on the brand. Data retrieved from 303 respondents in an online experiment, analysed with partial least squares path modelling, show that, contrary to prior research, consumers actually evaluate banners more positively than article-style native ads, in terms of attitude and credibility. Banners also show a larger understanding of message intent. Ad attitude, ad credibility, and understanding of message intent significantly mediate the relations between ad type (banners versus article-style native ads) and brand effects. These results provide important insights for brand managers, ad agencies, and publishers that can increase the effectiveness of online advertising planning. ",0,0,1,0,1,1,1,0,"""recognition of message intent & ad credibility"" - PCD
message intent, ad attitudes & Credibility has on the ""effects on the brand"" - PCC & PFE
""consumer evaluations & perceptions"" - PP2",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
The perceived effectiveness of overt versus covert promotions ,2019,"Purpose – The purpose of this study contributes to literature on marketing communications by empirically contrasting the effectiveness of a new form of covert promotions (product placement in recipes) and an overt promotion (traditional advertisement). The mediating role of perceived believability of promotional materials and the moderating roles of advertising skepticism and brand awareness were examined based on a conceptual model.

Design/methodology/approach – A Web-based experiment with 2 (form of promotion: overt versus covert)  2 (brand awareness: low versus high) between-subjects full factorial design was used. A public sample of 537 participants had participated in the study. The conceptual model was further tested on 106 participants using stimuli of a fictitious brand.

Findings – A two-stage moderated mediation analysis shows that the perceived believability of promotional materials was a significant mediator of the form of promotion and brand evaluations. Consumers showed a higher level of believability toward covert promotion, which, in turn, led to more positive evaluations of the promoted brand. Advertising skepticism and brand awareness were found to significantly moderate the relationship between form of promotion and attitudes toward the promoted brands. A similar pattern of results was obtained when stimuli of a fictitious brand were used.

Originality/value – This research addresses an important issue in marketing communication and extends the understanding of the perception of overt and covert promotions by examining the underlying mediating and moderating variables, which have rarely been explored before. The results guide marketers in developing effective marketing communication strategies for well-known, less well-known and even new brands. It also directs policymakers to consider whether integrated branded content in recipes should be disclosed to protect consumers from surreptitious promotions, which may help to lower consumers’ skepticism toward advertising in the long run.",0,0,1,0,1,1,0,0,"""effectiveness of NA, develop effective marketing communications strategies"" - PFE
evaluations of ""overt & covert promotions"" to reveal effectiveness - PCC
""public sample of 537"" - PP2",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
"The Challenges Native Advertising Poses: Exploring Potential Federal Trade Commission Responses
and Identifying Research Needs",2019,"Native advertising is a new form of online advertising that appears in many settings, such as blogs, social media, and entertainment and news publications. Native ads typically blend with their surrounding context, stem from sources or placements that do not signal advertising, lack overtly persuasive or sales-focused messaging, and have less clear material outcomes. Such characteristics raise ethical concerns because native ads are more difficult for consumers to identify and because they challenge concepts that are central to current deceptive advertising policy. Native advertising is a Federal Trade Commission enforcement priority, and the agency has developed guidelines for this new ad form. However, the unique characteristics of native advertising likely require novel approaches to protect consumers. In this article, the authors trace the evolution of regulation relevant to native advertising. They identify shortcomings and propose remedies that the Federal Trade Commission or industry could adopt to prevent consumer harm, detect infractions, and enforce its regulations. The authors also develop an agenda for future research needed to more fully inform public policy and industry response in this arena. ",1,0,0,1,0,0,1,1,"""prevent consumer harm, detect infractions & enforce its regulations"" - PFR
""Fedeeral Tradee Commission or industry adopt"" - PP1
""lack overtly persuasive or sales-focused messaging…ddifficult for coonsumers to identity"" - PCS / PCD",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
