Title,Year Published,Abstracts,professionalism,,,participants,,practices,,,exemplar,exemplar code,Remarks
Recognizing Native Ads as Advertising: Attitudinal and Behavioral Consequences ,2019,"This study assessed consumers’ initial reactions to in-feed native ads appearing as news content. In particular, it focuses on consumers’ recognition of advertising when they realize that content they had thought were news stories had in fact been advertising. Recognition of advertising made consumers infer that advertisers had deliberately manipulated them. Consequently, consumers engaged less with the message, had less positive attitudes toward the brand, and were less likely to purchase and share. The results demonstrated the mechanisms through which the two mediators, manipulative intent and message engagement, lowered brand attitude, purchase intention, and sharing intention. In addition, ad disclosure made more people recognize the ad when they were exposed to it than when it was not disclosed as an ad. ",0,0,1,0,1,1,1,0,"""Recognition of adveretising"" - PCD
""likeliness to purchase and share,"" - PCC & PFE",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Measuring Sponsorship Transparency in the Age of Native Advertising ,2018,"As advertisers continue to develop new formats of online content that blurs the line between advertising and news or entertainment, the need to understand how consumers process covert advertising grows. While regulators and industry practitioners agree that transparency is paramount to preventing consumer deception, there exists no established way of determining the extent to which a given message transparently conveys to consumers that is a paid advertisement. The current study makes the case for, develops, and validates a scale to measure sponsorship transparency. Following traditional scale development methods, the study generates a pool of items based on consumer and expert input, reduces the number of items based on empirical research, and evaluates scale validity and reliability using a diverse national sample. ",0,1,0,1,1,0,1,0,"""consumer & Expert input"" - PP1 & PP2

""the need to understand how consumers process covert advertising grows"" - professional values PFV",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Seeing Native Advertising Production via the Business Model Lens: The Case of Forbes’s BrandVoice Unit ,2018,"Although the production side of advertising has interested scholars for decades, research has focused primarily on isolated agency practices and interactions with clients. Discussion has been limited regarding how an ad agency coordinates and connects multiple activities and relationships, and how the agency setup has evolved over time. This question has become particularly interesting in the age of digitization, in which new forms of advertising require new ways of organizing production. In a case study of Forbes’s BrandVoice unit, this article specifically examines native advertising production via the business model lens, illustrating how BrandVoice consciously borrows production logics from journalism and distribution practices of platform economies. This study contributes to the understanding of the morphing of advertising production and agency work in the digital economy.",0,0,1,1,0,1,0,0,"""examines native advertising production via the business model lens"" - PP1
""borrows production logics from journalism and distribution practices of platform economies"" / ""morphing advertising and agency work"" - PCC & PFE",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Going native on Facebook: a content analysis of sponsored messages on undergraduate student Facebook pages ,2018,"This paper examines the prevalence and nature of sponsored messages on Facebook. Results of a content analysis of desktop and mobile Facebook pages from 52 undergraduate student subjects showed 53% of sponsored messages in the desktop sample and 100% of sponsored messages in the mobile sample would be categorised as native advertising, as they were located in the user’s news feed. Approximately 12% of all news feed posts were sponsored posts and almost 90% of sponsored news feed posts were based on the user’s or user’s friends’ actions. The majority of the sponsoring advertisers were from companies established after the year 2000, and only 11% were leading US advertisers.",0,0,1,0,1,0,0,0,"frames in business terms - PFE
",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
The Role of a Companion Banner and Sponsorship Transparency in Recognizing and Evaluating Article-style Native Advertising ,2018,"Native advertising is a relatively new form of online advertising that matches the format of surrounding non-advertising content. The fact that native advertising blends into its context risks deceiving consumers who may be unaware the content they are viewing is actually advertising. Article-style native advertising, a native ad form that mimics the style of online news articles, is particularly concerning since consumers may not expect advertising to appear in such a format. Such concern is supported by research finding low efficacy of traditional disclosures on article-style native advertisements. We investigate a novel means of increasing ad recognition through the use of companion banner advertising. Across two experiments we demonstrate that inclusion of a companion banner boosts consumer recognition of the paid nature of article-style native advertising to the same degree as a traditional disclosure. In both cases we also find that the negative reactions caused by ad recognition are muted when a native ad is perceived as having higher sponsorship transparency. These effects occur for both familiar and unfamiliar brands. Taken together, results not only detail the efficacy of a new means of achieving adequate disclosure, but also develop greater understanding of how consumers respond to article-style native advertising.",0,1,1,0,1,0,1,0,"""deceiving consumers"" - PFV
""increasing ad recognition"" - PCD
""consumer response to article-style native advertising"" - PP2",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Building a Better Native Advertising Disclosure ,2017,"Past research has shown that consumers’ ability to identify sponsored news articles as advertising is low. This study utilized two experiments to identify characteristics of native advertising disclosures that can lead to higher levels of recognition. An online experiment (N = 242) showed that higher levels of visual prominence in the form of size and color contrast increased advertising recognition, and that language explicitness increased recognition when visual prominence was high. An eye-tracking lab experiment (N = 90) showed that such high-visual-prominence, high-explicitness disclosures are more likely to be noticed and more likely to lead to advertising recognition when they are embedded within the story text than when they are at the absolute or relative top of the page.",0,0,0,0,1,0,1,0,"""ability to identify news articles as advertising."" 
""advertising recognition"" - PCD
consumer response to visual prominence - PP2
",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Understanding “Native Advertising” from the Perspective of Communication Strategies ,2017,"Native advertising is at the intersection of strategic communication and journalism information. As a type of commercial hybrid content, its distinctiveness as a promotional method is questioned. As a vehicle for informing, it blends in with the surrounding editorial causes concern. Thus, the purpose of this study is to deconstruct “native advertising” and form a clearer understanding of this emerging and changing concept. To serve this purpose, this study conducted content analysis of communication strategies of 151 native advertisements sampled from three news websites. The findings revealed that more than half of the sample cited sources and disclosed sponsors. Congruence was largely based upon function-based associations. About one-third of the native advertisements offered how-to advice and addressed connections between the sponsor and the story. Sometimes, the sponsor was not mentioned in the stories at all. The findings suggest that native advertising exhibits certain features of sponsored content, differs from traditional advertising or advertorials, and imitates journalistic style and format. This study also recommends that strategic persuasion goals should be balanced against congruence with the style and the format of the surrounding journalism.",0,1,1,1,0,1,1,0,"""sample of native advertisments sampled from 3 news website"" - pp1
""cited sponsors and disclosed sponsors"" - PCD
""strategic persuasion goals should be balanced against congruence with style and the format of surrounding journalism"" - PCC & PFV",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Going Native on Social Media: The Effects of Social Media Characteristics on Native Ad Effectiveness ,2017,"An online survey (N = 320) was conducted to examine the effects of social media characteristics on native ad effectiveness. Results show perceived intimacy, professionalism, and anonymity positively predict consumers’ attitude toward native advertising, trust toward the ad sponsor, and satisfaction toward the sponsor. Further, the findings also show network size is a significant positive predictor for trust toward the ad sponsor, with theoretical and practical implications discussed.",0,0,1,1,1,1,0,0,,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
To Disguise or to Disclose? The Influence of Disclosure Recognition and Brand Presence on Readers' Responses Toward Native Advertisements in Online News Media ,2017,"While several studies have focused on native advertisements’ disclosures, little research has been conducted on native advertisements’ content. Therefore, this study investigated the influence of both disclosure recognition and brand presence on readers’ persuasion knowledge (PK) and subsequent evaluations. Results of an online study (N = 290) showed that disclosure recognition resulted in higher conceptual PK, yet this had no effect on readers’ attitudinal PK and evaluations. Conversely, high brand presence did not increase readers’ conceptual PK, but it did increase attitudinal PK, which subsequently decreased evaluations of the ad, brand, and news medium. Implications are discussed.",0,0,1,0,1,1,1,0,,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Product Type and Spokespersons in Native Advertising – The Role of Congruency and Acceptance ,2017,"This study explored how product type and featured spokesperson affected (a) perceived congruence between a native ad and a social media platform and (b) level of acceptance of the native ad and, in turn, how congruence and acceptance influenced advertising outcomes. The findings revealed that congruence and acceptance positively influence attitude toward the ad, attitude toward the brand, purchase intention, and intention to engage in social media activity. Furthermore, the results showed that the native ad for a self-expressive product that featured a layperson generated the highest levels of congruency. This study also found that perceived congruence between product type and spokesperson moderated the effect of product type on advertising acceptance.",0,0,1,1,1,1,0,0,,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
"Now You See Me, But You Don't Know: Consumer Processing of Native Advertisements in Online News Sites ",2017,"Native advertising has become a growing trend in news outlets to break through the clutter of advertisements to reach consumers. This exploratory study investigates consumers’ cognitive processing of native advertisements in U.S. online news sites. Using think aloud techniques, 30 interviews revealed that two-thirds of participants saw native ads in the provided online news sites, but less than half of them were aware of the persuasive intent of the native ads. For those who recognized native advertisements in the news sites, brand elements, and ad disclosures were the most commonly reported identifiers. Furthermore, native advertising does not always generate negative perceptions. Practical and policy implications and future research directions are discussed. ",0,0,1,0,1,1,1,0,,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
"Transparency for Sponsored Content: Analysing Codes of Ethics in Public Relations, Marketing, Advertising and Journalism ",2017,"As sponsored content is gaining ground globally, the boundaries between strategic communication, advertising and journalism are blurring. As sponsored content becomes more common, it raises novel ethical concerns that no industry alone can answer, such as How much disclosure is needed for transparency? Self-regulation via codes of ethics has been suggested as a remedy to meet the rising transparency expectations, and this article analysed 40 codes of ethics in the fields of communication, advertising, and journalism (United States and Finland) related to sponsored content. The results indicate that there remains excessive variation within the codes of ethics of how transparency of sponsored content is addressed. According to our analysis, most of the codes deal with transparency and the separation between commercial and editorial content only vaguely, and only eight of the total 40 guidelines take sponsored content into account. Therefore, we believe that the strategic benefit of sponsored content is threatened as long as no joint codes of ethics exist for sponsored content. To the degree that sponsored content is practiced across professions, we call for a joint code of ethics for sponsored content transparency, as the current codes of ethics fail to answer this emerging need.",1,1,0,1,0,0,1,1,,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Editorial Content In Native Advertising: How Do Brand Placement and Content Quality Affect Native Advertising Effectiveness?,2017,"This study examines how brand placement in editorial content (i.e., whether a sponsoring brand is mentioned in editorial content) affects consumers’ responses to native advertising and whether the effect is moderated by either high or low quality of editorial content. Results of an experiment showed significant interaction effects between brand placement and content quality. Brand placement had negative effects on source credibility and message attitudes only when the quality of editorial content was low, not when the quality was high.",0,0,1,1,1,1,0,0,,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Digital Native Advertising: Practitioner Perspectives and a Research Agenda ,2017,"Digital native advertising is a subtle form of digital advertising that is integrated closely with its context. Practitioners are increasingly assigning budgets to this advertising strategy. On the basis of 22 in-depth expert interviews with senior executives of advertising brands, publishing companies, and media agencies, this study provides new insights into the effectiveness of digital native advertising. We also shed light on factors in the field of content and context of digital native advertising that influence its performance. We present 10 key propositions that reflect practitioners’ perspectives and form an agenda for further scientific research in the field of digital native advertising. ",0,0,1,1,0,1,0,0,,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
"Disclosing Instagram Influencer Advertising: The Effects of Disclosure Language on Advertising Recognition, Attitudes, and Behavioral Intent ",2017,"In this study we examined the effect of disclosure language (control/no disclosure, “SP,” “Sponsored,” and “Paid Ad”) in Instagram-based influencer advertising on ad recognition, brand attitude, purchase intention, and sharing intention among a sample of 237 students. In line with prior research, results indicated that disclosure language featuring “Paid Ad” positively influenced ad recognition, which subsequently interacted with participants’ memory of a disclosure and mediated the effect of disclosure language on attitude toward the brand and sharing intention. The findings offer a significant contribution to the literature on consumers’ information processing and understanding for new and developing native advertising executions. Theoretical and managerial implications are discussed.",0,0,1,0,1,1,1,0,,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Going Native: Effects of Disclosure Position and Language on the Recognition and Evaluation of Online Native Advertising ,2016,"Despite recent industry attention, questions remain about how native advertising is perceived and processed by consumers. Two experiments examined effects of language and positioning in native advertising disclosures on recognition of the content as advertising, effects of recognition on brand and publisher evaluations, and whether disclosure position affects visual attention. Findings show that middle or bottom positioning and wording using “advertising” or “sponsored” increased advertising recognition compared to other conditions, and ad recognition generally led to more negative evaluations. Visual attention mediated the relationship between disclosure position and advertising recognition. Theoretical, practical, and regulatory implications for disclosures in native advertising are discussed. ",0,0,1,0,1,1,1,0,,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
"Consumer Perceptions of Credibility and Selling Intent Among Advertisements, Advertorials, and Editorials: A Persuasion Knowledge Model Approach ",2015,"This article presents the results of a study of consumer reaction to three different types of information delivery in magazines: editorials, advertorials, and advertisements. The study draws on the Persuasion Knowledge Model to examine the effect of each form of information delivery on source influence, source credibility, perceived selling intent and purchase intention. The analysis indicates that the form of information delivery in print media affects the perceived credibility of the source of the information, the perceived selling intention and the purchase intention. Implications for marketers and policy-makers are also discussed. ",0,0,1,0,1,1,1,0,,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
When is Advertising Advertising? Comparing Responses to Non-Traditional and Traditional Advertising Media ,2012,"This paper investigates how consumers identify advertising. Research on new advertising formats such as advertorials etc. shows that they may be more effective than traditional advertising formats. While building on the underlying assumption that the new advertising formats blur the boundaries between advertising and its surrounding content, this has never been tested directly. We draw upon representation and categorization theory to hypothesize that a new advertising format, such as placing an ad message in a non-traditional advertising medium (which has never previously featured advertising), makes it more difficult to identify the message as advertising. As a result, consumers should activate their advertising schemas to a lesser extent and evaluate the message more favorably. An experiment, in which the ad message was placed in either a traditional or non-traditional medium, confirmed the hypotheses.",0,0,1,0,1,1,0,0,,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Advertiser Pressure and the Personal Ethical norms of newspaper Editors and Ad Directors ,2011,"Newspaper journalists and advertising directors were surveyed to update and extend research on advertising pressure. Results reveal that:

- advertiser pressure is widespread in newspapers; despite economic threats, however, advertisers succeed with their influence attempts relatively infrequently;
- smaller newspapers do not differ much from larger ones with regard to any forms of advertiser pressure;
- advertising directors are more permissive in their personal ethical norms for handling advertiser pressure than editors;
- employees of small newspapers are not much more permissive in their ethical norms than those of large papers; 
- the amount of economic pressure a newspaper received (but not other forms of pressure such as influence attempts and acquiescence) is positively correlated with the permissiveness of media workers’ personal ethical norms.",0,1,0,1,0,0,0,0,,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
"""Being Hooked"" By Editorial Content: The Implications for Processing Narrative Advertising ",2009,"Processing narratives demands sufficient cognitive resources; therefore, the effectiveness of narrative advertising depends on individuals’ cognitive capacities. In contexts where cognitive capacity was constrained by processing narrative editorials, narrative advertising was less likely to transport and “hook” readers or evoke empathy. The relative effectiveness of narrative and argument advertising was also moderated by editorial content. When reading narrative magazine articles, participants failed to take argument strength into account when evaluating a subsequent ad. In addition, the superior effectiveness of narrative advertising compared to argument advertising in terms of generating more favorable cognitive responses, warm feelings, and positive ad and brand attitudes did not emerge when participants read narrative articles. In contrast, when reading facts-based articles, participants elaborated more on the subsequent ad and took argument strength into account. In this condition, narrative advertising was able to be processed and, as a result, was more effective than argument advertising",0,0,1,0,1,1,0,0,,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Advertiser Pressure on Daily Newspapers: A Survey of Advertising Sales Executives ,2007,"Despite increasing concern over advertisers’ influence on news content, little is known about how advertising sales executives handle balancing their business goals and the ultimate organizational goal—integrity of the news product—in their daily decision making. This study examines how and to what extent advertising sales executives deal with advertiser influences on news content. A survey of 219 advertising directors at U.S. daily newspapers showed frequent conflicts between the business side and the journalism side of the newspaper operation. Those at small newspapers or chain-owned newspapers were more likely to endorse scenarios where editorial integrity was compromised to please or refrain from offending their advertisers.",0,1,0,1,0,0,0,1,,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Branded Entertainment: A New Advertising Technique or Product Placement in Disguise? ,2006,"In the last few decades product placement has matured and become more sophisticated. Branded products are no longer just ‘placed’; they are woven into entertainment content making a stronger emotional connection with the consumer. The outcome is a concept the advertising industry is calling branded entertainment, a convergence of advertising and entertainment. This article considers whether or not branded entertainment is a new technique, or just another form of product placement. By tracking the evolution of product placement and from an analysis of the two concepts, it is suggested that branded entertainment is a new term to describe a more contemporary, sophisticated use of product placement. A conceptual framework for understanding the various forms of product placement is presented, and this highlights the key influences on the effectiveness of this fast-growing marketing phenomenon. The important management issues related to product placement are considered; issues related to measurement, control, and ethics. The article then concludes with recommendations for further research.",0,0,1,1,0,1,0,0,,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Readers' Reactions to Mixtures of Advertising and Editorial Content in Magazines ,2005,"This article focuses on reactions toward two mixtures of advertising and editorial content in magazines, namely theme features and advertorials. A survey among subscribers (N = 316) to five diferent magazines showed that the most editorial mixture generated the most attention, appreciation, and acceptance. Furthermore, audience reactions toward mixtures were influenced by the perceived authority and informational value of the magazines. The findings did not substantiate concerns that have been expressed in the literature about the misleading character of these subtle forms of advertising. Intertwining of advertising and editorial content appears to be a promising format for advertisers and publishers.",0,0,1,1,1,1,0,0,,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Effect of content type on impact: editorial vs. advertising ,2004,"This article examines the effect of content type whether news editorial surpass advertising. An anticipated finding was that news editorial would be more believable than advertising. However, this is not supported by the results of this study. For strong arguments, news editorial demonstrated an effect similar to that of advertising. However, for the weak argument, advertising had a stronger effect than did news editorial. Although message believability may be an important determinant of attitude toward the product under some circumstances, in others, argument quality may be even more important than content type.",0,0,1,1,1,1,0,0,,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Reevaluating Public Relations Information Subsidies: Market-Driven Journalism and Agenda-Building Theory and Practice ,1999,"Public relations practitioners provide information subsidies to the media on behalf of their clients to influence the media agenda and potentially affect public opinion. McManus (1994) stated that news media are using more public relations information subsidies to contain costs and increase profits. Through in-depth interviews and a nationwide survey, this study of editors' perceptions of the phenomenon suggests that increasing economic constraints have led to an increased use of public relations materials only in specific instances that often do not support the agenda-building goals of the sponsoring organizations.",0,1,0,1,0,0,0,0,,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Advertorial: Creative Solution or Last Resort? ,1997,"In what is becoming an increasingly cluttered competitive environment, advertisers are being forced to identify alternative approaches with which to communicate their messages. This article focuses on one possible approach, the advertorial, a term typically used to describe a print advertisement where the execution, and in particular the copy, is in the editorial style of the host publication. Drawing on a preliminary review of the literature and an exploratory research study, comprising a press review and a series of in-depth interviews with practitioners, the article considers the profile of the press advertorial and advertising feature within the present advertising environment and their potential as an effective communication tool.",0,1,1,1,0,0,0,0,,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Reader Categorization of a Controversial Communication: Advertisement Versus Editorial,1995,"Using a disguised, structured technique, the authors collected consumer judgments regarding an editorial advertisement entitled ""Of cigarettes and science"" sponsored by R. J. Reynolds Tobacco Company. Respondents were shown an actual newspaper section that contained different types of editorials and advertisements, including the ""Of cigarettes and science"" item. After the respondents indirectly classified each item as either an editorial or advertisement, they were asked to list at least two characteristics about the appearance or wording of the ""Of cigarettes and science"" item that caused them to classify it as they did. The majority of respondents thought the item was an advertisement because it looked different
from editorial items, was sponsored by R. J. Reynolds Tobacco Company, and seemed to have a persuasive or promotional content. Over one-fourth of the respondents, however; identified the communication as an editorial because of its lack of direct sales information and its extensive wording. The authors contend that legal and regulatory bodies should consider the effects of both source and intent of the message when arguing consumer impact.",1,0,0,0,1,0,1,0,,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Newspaper Policies on the Potential Merging of Advertising and News Content ,1994,"Newspaper readers more readily trust news than advertising content. Therefore, journalists and media scholars consider it important that audiences can distinguish between news stories and advertisements. The authors collected survey responses from 321 daily newspapers on their standards for acceptable advertising for publication. The responses were analyzed to discover if advertising acceptance policies and practices reflect publications' willingness to blur the lines between news and advertising sections. The data indicate that most newspapers are careful about letting advertisers pretend their messages are really news stories. In general, newspapers' journalistic priorities for honesty influence their advertising policies. A few newspapers may use the editorial content to help sell advertising space and otherwise blur the lines between news and advertising content, but it is not a common and widespread problem.",0,1,0,0,1,0,1,1,,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Beyond Advertising and Publicity: Hybrid Messages and Public Policy Issues ,1994,"This research explores a growing genre of marketing communication, labeled hybrid messages, which creatively combine key advantages (and avoid key disadvantages) inherent in advertising and publicity messages. Several types of hybrid messages are discussed, including those with long established histories (product placements, program-length commercials, program tie-ins), and those with a relatively recent origin (masked-art, masked-news, and masked-spokesperson messages). To obtain integrative insights on hybrid messages, this study: (a) reviews their historical/current regulatory status, (b) discusses their pros and cons, theoretical rationales and practical implications, and (c) delineates an extensive agenda for future research. Several important public policy questions raised by hybrid messages are addressed.",1,0,0,1,0,0,0,0,,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Point of view: blurred boundaries - where does editorial end and advertising begin? ,1993,"Top executives in both advertiser and advertising service provider groups were surveyed as to the current trend of integrating advertising with editorial or programming content. The highest marketing executives and media directors of the top 100 National Advertisers and 100 Advertising Agencies, respectively, listed by Advertising Age were sent questionnaires. Out of 65 returned questionnaires, 67.7% indicated an awareness of increased blurring between advertising and editorial content, which was reflected strongly in the advertiser group. Sixty-seven percent of the respondents placed magazines as the medium most open to this practice, followed by television. There was ambivalence as to regulation although the overall sentiment is against government regulation.",0,1,0,1,0,0,0,0,,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Advertising Pressures on Newspapers: A Survey ,1992,"Although there are numerous anecdotal reports, there are few systematic studies ofadvertisers' attempts to influence news reports. The two empirical studies that examined advertising pressures on editors and writers at farm, business, and consumer magazines found that the pressure is much greater than suggested by academic writers. Another study of television found organizational pressures to approve deceptive program-length advertisements, i.e., infomercials. This study extended the empirical research about advertising pressures to newspapers. A survey of editors at daily newspapers found that just under ninety percent reported that advertisers attempted to influence the content of stories appearing in their papers; ninety percent had economic pressure applied on them by advertisers because of their reporting; and thirty-seven percent had capitulated to advertiser pressure. Despite these pressures, eighty-five percent of the editors reported that their papers carry stories that advertisers ""find critical or harmful.""",0,1,0,1,0,0,0,1,,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Feature Advertising: Policies and Attitudes in Print Media ,1992,"This study reports the results of a survey of advertising managers and editors of weekly and daily newspapers and of selected consumer magazines concerning the issue of feature advertising. Feature advertising is defined as paid advertising space that looks like editorial copy in the form of a short feature article. It was posited that this type of advertising might offer a unique challenge to the process of advertising self-discipline among print media. Ad managers and editors differed on a number of points, but agreed that questions pertaining to feature ads should be addressed through media self-discipline.",0,1,0,1,0,0,0,1,,,